"","N","low","high","ages","years"
"83",50792.4688513964,30681.0350037726,84086.957682583,2,1995
"84",9593.72431115483,6163.89918099966,14932.0330290536,3,1995
"85",9130.98702461119,5583.73997903119,14931.7347076903,4,1995
"86",925.272064517634,581.657910771165,1471.87612774262,5,1995
"87",70.9135919225021,43.0275017377009,116.872635320701,6,1995
"88",13.6971377457471,8.19283453132291,22.8994716918416,7,1995
"89",307340.480729199,139535.703356644,676946.249759652,0,1996
"90",43087.9743590955,23523.1510718597,78925.3756309482,1,1996
"91",93727.3659184474,54124.5302325783,162307.535682274,2,1996
"92",21756.950928481,14235.4029313162,33252.6529799156,3,1996
"93",2752.38252605573,1726.59659176301,4387.59673561127,4,1996
"94",2215.12405761258,1408.37863917557,3483.98822172303,5,1996
"95",232.031877522203,143.127939713647,376.158507515674,6,1996
"96",21.7778027870515,12.8470816507881,36.9167649995138,7,1996
"97",394703.714929377,182302.110528191,854576.077740795,0,1997
"98",125988.740216881,72995.5597641133,217453.811063731,1,1997
"99",26341.5234864619,14247.4624176878,48701.7153824107,2,1997
"100",35794.9899601608,23114.4377042001,55432.077675642,3,1997
"101",5536.4624780155,3531.24274169352,8680.34825489602,4,1997
"102",660.09392301813,422.622889508742,1030.99949865932,5,1997
"103",546.088190130277,341.671827068847,872.803338683442,6,1997
"104",63.6815674286927,37.9156158183775,106.957039801251,7,1997
"105",148060.957338936,69503.0938594631,315411.097129707,0,1998
"106",162480.793649446,96331.131154802,274054.79400558,1,1998
"107",76937.0337847267,44476.7844838347,133087.569982573,2,1998
"108",7991.43570572805,5242.88835639317,12180.8896733249,3,1998
"109",7439.46899281272,4656.49164911097,11885.707752872,4,1998
"110",1289.87073423206,845.428527949254,1967.9564339568,5,1998
"111",157.850716818345,97.5244635279513,255.493318278279,6,1998
"112",148.05257151215,89.776166360828,244.15794102035,7,1998
"113",147694.944718176,70955.7611324414,307428.126302373,0,1999
"114",59717.2842402209,35988.7343121268,99090.8434316813,1,1999
"115",98221.7625353633,58253.7625382434,165611.871494476,2,1999
"116",24621.7144108669,16537.9281765597,36656.8783016931,3,1999
"117",1722.00143096108,1091.63089721761,2716.38420622763,4,1999
"118",1733.63820386904,1131.99701813508,2655.04358559681,5,1999
"119",308.078769815264,195.304898703344,485.971058795881,6,1999
"120",72.9784703007498,44.4097927468177,119.925286699724,7,1999
"121",98032.686236419,47257.6877386004,203361.781555773,0,2000
"122",58649.9524715425,36240.9050625691,94915.3151383892,1,2000
"123",35701.4930289693,21435.0110363939,59463.3052594858,2,2000
"124",32429.8520578206,22021.1263333235,47758.4701424036,3,2000
"125",5286.78865992408,3478.05003209071,8036.15073872318,4,2000
"126",378.953495181148,249.135948739904,576.415215212205,5,2000
"127",391.120305585743,251.602032694846,608.004203316672,6,2000
"128",86.8678650037144,52.8400738232049,142.80877039558,7,2000
"129",197107.708516565,96416.5879319188,402953.989453398,0,2001
"130",38340.8499486133,23725.6475914988,61959.1422789575,1,2001
"131",34829.7192557864,21381.8679110707,56735.4240743764,2,2001
"132",11793.9652862362,8102.6181568783,17166.9964547034,3,2001
"133",6977.03862954672,4601.22482733965,10579.5891017855,4,2001
"134",1180.17681018366,793.856372904226,1754.4953354721,5,2001
"135",86.6066587056279,54.700715333503,137.122764966093,6,2001
"136",110.143577723769,68.4411614783632,177.256017457085,7,2001
"137",71176.425041039,34784.3619175282,145642.558964688,0,2002
"138",76605.6979801691,48712.7433954751,120470.179956524,1,2002
"139",22700.2276927607,13977.8453766984,36865.5056209312,2,2002
"140",12228.6183972559,8372.09936032032,17861.6021465833,3,2002
"141",2659.05229384825,1729.24692666061,4088.80825081109,4,2002
"142",1548.88128229653,1042.96785532263,2300.19862491969,5,2002
"143",268.332189945099,172.956128777029,416.303051356776,6,2002
"144",44.4107870099525,26.8649290125602,73.4160883850184,7,2002
"145",228723.301548022,111343.962970515,469844.500548996,0,2003
"146",26961.2699678096,17219.4878488695,42214.3843450509,1,2003
"147",44974.9384667794,28664.1571244936,70567.0528285709,2,2003
"148",8515.40542274107,5817.17273048616,12465.1841836555,3,2003
"149",2970.80713819196,1876.07827372292,4704.33199720311,4,2003
"150",600.96284808352,398.669252430636,905.904688096036,5,2003
"151",359.66204068024,233.527841058649,553.92446108294,6,2003
"152",73.7738223694057,44.8076648530432,121.465309224276,7,2003
"153",93414.9842483002,44433.6733153993,196390.679207831,0,2004
"154",84910.4363099814,53824.9468811592,133948.709884842,1,2004
"155",15755.3959812069,10125.4067994883,24515.8053834613,2,2004
"156",18980.3967018407,13152.3605296503,27390.9355014329,3,2004
"157",2342.23696770802,1473.36666659427,3723.49540496886,4,2004
"158",674.639705222647,447.247063149426,1017.64498722004,5,2004
"159",141.17935068397,90.8562217032825,219.375279820021,6,2004
"160",104.671503214297,64.7916995797466,169.097641460318,7,2004
"161",85205.7972130954,38785.8486802953,187182.390633301,0,2005
"162",32211.5449364975,20146.0151382751,51503.1692408841,1,2005
"163",48263.283121684,30782.1926682803,75671.8185343605,2,2005
"164",7327.84322968083,5082.91585614496,10564.2682111021,3,2005
