Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
2003.416667,24994.34476,38721.58262,20293.18793,17073.80688,12150.05721,34088.42378
2003.5,25064.10299,38778.72132,20307.48912,17067.13058,12068.56055,34130.52341
2003.583333,25131.28761,38837.31044,20319.9891,17061.21252,11999.10605,34161.14251
2003.666667,25196.05907,38897.59852,20330.79168,17056.1109,11940.8331,34179.06027
2003.75,25258.59357,38959.78693,20340.03059,17051.87136,11892.94401,34183.17581
2003.833333,25319.03896,39024.09589,20347.80965,17048.53792,11854.65757,34172.51324
2003.916667,25377.52268,39090.69217,20354.27987,17046.12319,11825.18074,34146.34582
2004,25434.53711,39159.43732,20359.48217,17044.73728,11803.01399,34104.86272
2004.083333,25518.90329,39253.72987,20378.80946,17028.99354,11781.48109,34063.20649
2004.166667,25597.98067,39351.08684,20393.39382,17014.70021,11766.18104,34006.24092
2004.25,25672.5259,39451.74107,20403.95257,17001.9328,11756.35543,33934.08551
2004.333333,25743.17452,39555.87188,20411.08665,16990.74323,11751.31341,33847.01644
2004.416667,25810.53847,39663.56108,20415.29159,16981.15824,11750.39622,33745.4847
2004.5,25875.11801,39774.87789,20417.00786,16973.18254,11752.99197,33630.06798
2004.583333,25937.41496,39889.81286,20416.60357,16966.81457,11758.51371,33501.53186
2004.666667,25997.81002,40008.31566,20414.37761,16962.04174,11766.39092,33360.76651
2004.75,26056.66342,40130.30448,20410.57224,16958.84674,11776.07042,33208.79723
2004.833333,26114.23316,40255.68808,20405.40928,16957.22328,11786.98087,33046.84187
2004.916667,26170.75992,40384.33748,20399.04445,16957.16036,11798.54796,32876.21246
2005,26228.68361,40513.86781,20393.00054,16957.26576,11808.4821,32700.0706
2005.083333,26342.98933,40663.52459,20421.30875,16930.30885,11861.08214,32341.78418
2005.166667,26452.43885,40814.77651,20444.56412,16903.98591,11900.40612,31983.55096
2005.25,26557.74635,40967.39704,20463.43994,16878.27176,11928.03506,31626.47902
2005.333333,26659.56469,41121.21943,20478.41757,16853.18528,11945.10488,31271.92386
2005.416667,26758.41298,41276.17131,20489.94536,16828.77525,11952.4686,30921.40528
2005.5,26854.80721,41432.19606,20498.3631,16805.11402,11950.84493,30576.49331
2005.583333,26949.11234,41589.24963,20503.93193,16782.28654,11940.84492,30238.77699
2005.666667,27041.68705,41747.27538,20506.89254,16760.39506,11923.03399,29909.80103
2005.75,27132.82393,41906.25444,20507.40222,16739.55128,11897.97252,29590.99018
2005.833333,27222.69917,42066.16479,20505.62303,16719.87475,11866.2783,29283.5657
2005.916667,27311.56132,42226.95923,20501.67294,16701.48975,11828.59825,28988.54358
2006,27402.75798,42385.36253,20497.09045,16683.09688,11775.0958,28717.22825
2006.083333,27585.67671,42555.90713,20552.12433,16643.17278,11841.84391,28211.19451
2006.166667,27762.57041,42724.66468,20600.88305,16603.75365,11874.72136,27733.59372
2006.25,27934.2571,42891.88372,20643.87158,16565.02826,11879.09745,27283.0028
2006.333333,28101.2622,43057.79708,20681.50207,16527.20585,11859.15359,26858.30567
2006.416667,28264.13629,43222.70993,20714.06557,16490.5145,11818.29589,26458.64341
2006.5,28423.2066,43386.93691,20741.79645,16455.19805,11759.3874,26083.31841
2006.583333,28578.83807,43550.83667,20764.91181,16421.50821,11684.94282,25731.79142
2006.666667,28731.26982,43714.79307,20783.55165,16389.70925,11597.17741,25403.5688
2006.75,28839.59456,43879.21197,20797.87173,16360.06861,11498.06238,25098.17337
2006.833333,28888.64116,44044.50866,20808.0136,16332.86944,11389.38356,24815.10558
2006.916667,28884.91287,44211.0607,20814.05437,16308.37917,11272.74433,24553.78435
2007,28837.99313,44378.19479,20817.92108,16285.07661,11148.7929,24314.34188
2007.083333,28767.54901,44560.25461,20798.49783,16260.75782,10932.72616,24134.86697
2007.166667,28712.57177,44743.24256,20775.07413,16238.16001,10722.60681,23974.35243
2007.25,28670.62936,44928.14027,20748.45073,16217.85738,10518.31789,23832.00733
2007.333333,28639.8372,45115.30642,20719.21909,16200.25894,10319.89611,23706.57328
2007.416667,28618.51519,45304.67807,20687.85589,16185.67459,10127.39978,23596.4131
2007.5,28605.38597,45495.91229,20654.73551,16174.35917,9940.890102,23499.63961
2007.583333,28599.25396,45688.4522,20620.08607,16166.51404,9760.397073,23414.17858
2007.666667,28599.17216,45881.61192,20584.09948,16162.3091,9585.901687,23337.83374
2007.75,28604.34142,46074.58601,20546.89529,16161.88908,9417.335956,23268.3805
2007.833333,28614.06327,46266.4715,20508.59307,16165.35151,9254.557151,23203.61711
2007.916667,28627.79028,46456.32768,20469.24631,16172.77818,9097.387069,23141.41442
2008,28648.54911,46639.68688,20432.42439,16180.69725,8952.031536,23073.32219
2008.083333,28677.25532,46839.58268,20308.39524,16214.03786,8753.159615,23331.64649
2008.166667,28712.39243,47032.33339,20197.94837,16248.2484,8582.540337,23584.29366
2008.25,28752.62329,47217.54258,20098.41892,16283.45159,8436.297172,23829.98757
2008.333333,28796.93167,47394.73203,20007.73352,16319.71819,8311.408284,24067.24009
2008.416667,28844.46807,47563.42979,19924.40087,16357.07025,8205.408825,24294.39971
2008.5,28894.59697,47723.17654,19847.26,16395.48258,8116.16966,24509.71352
2008.583333,28946.7961,47873.52549,19775.463,16434.8907,8041.804462,24711.39319
2008.666667,29000.66272,48014.06449,19708.35547,16475.20179,7980.595399,24897.66258
2008.75,29055.84761,48144.42543,19645.40253,16516.28842,7930.947939,25066.88918
2008.833333,29112.15257,48264.23391,19586.26597,16557.99014,7891.303026,25217.68326
2008.916667,29169.41397,48373.19419,19530.6406,16600.12447,7860.148474,25348.92661
2009,29234.29241,48464.23983,19482.94845,16637.8116,7851.971444,25443.88472
2009.083333,29306.36312,48555.5466,19381.76094,16647.40289,7781.878032,25558.65578
