Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
2014.666667,32535.9883,52718.77498,17083.86381,13919.94767,6682.6587,18160.07455
2014.75,32599.15833,52815.92116,17012.64887,13853.08082,6633.159882,17762.31086
2014.833333,32663.82282,52909.42715,16943.13131,13783.7253,6582.490505,17366.50401
2014.916667,32729.7867,52999.18913,16874.91473,13712.12651,6529.807275,16974.7747
2015,32795.83868,53086.18242,16808.96343,13637.23048,6473.515662,16589.99654
2015.083333,32861.39985,53183.51423,16710.31335,13548.80723,6422.342504,16125.43829
2015.166667,32926.44188,53278.14657,16614.92434,13457.97711,6362.717413,15675.07583
2015.25,32990.35128,53370.35631,16521.85725,13365.16014,6295.278875,15239.99779
2015.333333,33052.85745,53460.44549,16430.47182,13270.74489,6220.613014,14821.06605
2015.416667,33113.73388,53548.64065,16340.28982,13175.08609,6139.313135,14418.94316
2015.5,33172.87988,53635.19347,16250.95574,13078.51803,6051.999566,14034.09448
2015.583333,33230.23567,53720.26126,16162.19741,12981.35533,5959.301083,13666.79407
2015.666667,33285.82014,53804.05798,16073.78359,12883.89217,5861.86504,13317.14074
2015.75,33339.66474,53886.69689,15985.55383,12786.3999,5760.366664,12985.03315
2015.833333,33391.83555,53968.32271,15897.35396,12689.10978,5655.560568,12670.13177
2015.916667,33442.38604,54049.01725,15809.06757,12592.22317,5548.223327,12371.89356
2016,33490.81912,54129.46638,15719.25683,12497.30924,5434.484742,12094.27867
2016.083333,33537.01524,54228.38389,15521.02067,12421.27506,5266.159712,11985.07748
2016.166667,33581.23866,54327.72929,15333.29449,12346.97602,5106.36727,11888.8234
2016.25,33623.47682,54427.16907,15154.0537,12274.39955,4954.704142,11804.36656
2016.333333,33663.73284,54526.50188,14981.96272,12203.54485,4810.929625,11730.37677
2016.416667,33702.1735,54625.63962,14816.09027,12134.40878,4674.873965,11665.35114
2016.5,33738.91518,54724.46275,14655.75518,12066.95279,4546.380918,11607.62884
2016.583333,33774.18129,54822.86427,14500.52013,12001.11633,4425.287061,11555.46375
2016.666667,33808.13856,54920.6806,14350.04376,11936.80108,4311.390121,11507.05737
2016.75,33840.97578,55017.74183,14204.09639,11873.86623,4204.490784,11460.60868
2016.833333,33872.83766,55113.85919,14062.47666,11812.11908,4104.448429,11414.28203
2016.916667,33903.89096,55208.84391,13925.07917,11751.32446,4011.144396,11366.29666
2017,33934.21434,55302.51351,13791.98258,11691.04267,3923.878545,11315.55085
2017.083333,33964.80829,55416.53922,13529.70016,11620.66226,3802.856053,11227.44002
2017.166667,33996.0189,55527.43757,13285.84365,11549.93027,3692.593678,11133.84335
2017.25,34028.06327,55635.06385,13057.64515,11478.54779,3592.213921,11033.70387
2017.333333,34061.07667,55739.09713,12843.1351,11406.19705,3500.953723,10926.15211
2017.416667,34095.19126,55839.14099,12640.92604,11332.54536,3418.099009,10810.50693
2017.5,34130.44163,55934.77383,12449.96239,11257.25368,3342.978353,10686.28524
2017.583333,34166.92533,56025.58665,12269.40962,11179.98303,3274.9406,10553.20117
2017.666667,34204.61718,56111.1956,12098.59601,11100.39754,3213.350217,10411.16053
2017.75,34243.51718,56191.2483,11936.934,11018.16292,3157.586876,10260.25329
2017.833333,34283.53409,56265.4679,11783.91076,10932.95119,3107.038271,10100.75475
2017.916667,34324.63331,56333.59639,11639.05198,10844.44298,3061.11321,9933.096924
2018,34365.84579,56396.25673,11500.95053,10753.27936,3021.418045,9755.678094
2018.083333,34407.39492,56478.68798,11286.32093,10665.39569,2957.955273,9556.23905
2018.166667,34449.09192,56555.16657,11087.63643,10574.03621,2902.623502,9349.522433
2018.25,34490.66622,56626.13296,10902.85041,10478.99014,2854.1276,9136.665443
2018.333333,34531.92275,56691.90178,10730.46919,10380.0451,2811.338812,8918.793877
2018.416667,34572.72308,56752.66179,10569.29799,10276.99659,2773.272804,8697.016644
2018.5,34612.89416,56808.57032,10418.37564,10169.64168,2739.055878,8472.418158
2018.583333,34652.37936,56859.70287,10276.88648,10057.80103,2707.919062,8246.05412
2018.666667,34691.02137,56906.14754,10144.09979,9941.311819,2679.18882,8018.936311
2018.75,34728.83278,56947.98612,10019.37139,9820.026967,2652.269737,7792.044845
2018.833333,34765.73492,56985.25637,9902.084609,9693.840287,2626.619605,7566.342097
2018.916667,34801.73095,57018.02122,9791.669985,9562.671549,2601.75407,7342.755394
2019,34835.76373,57047.37556,9682.027762,9432.037671,2570.651881,7128.754025
2019.083333,34870.68061,57083.75858,9639.928042,9302.710266,2564.144546,6906.709911
2019.166667,34906.01908,57117.55539,9593.083806,9173.288473,2548.799313,6695.146786
2019.25,34941.83577,57148.55836,9542.427911,9043.491493,2525.818413,6493.763143
2019.333333,34978.06148,57176.66049,9488.554209,8913.139989,2496.296818,6302.301813
2019.416667,35014.6081,57201.89327,9431.855977,8782.127777,2461.255179,6120.527587
2019.5,35051.36866,57224.26926,9372.650985,8650.394291,2421.630536,5948.209476
2019.583333,35088.24564,57243.83253,9311.168908,8517.912002,2378.283916,5785.10256
2019.666667,35125.16352,57260.62711,9247.65358,8384.687203,2332.000761,5630.949246
2019.75,35162.05937,57274.69706,9182.323663,8250.750568,2283.493458,5485.458583
2019.833333,35198.90174,57286.08641,9115.397033,8116.146147,2233.398803,5348.304573
2019.916667,35235.7095,57294.83923,9047.089208,7980.940795,2182.282232,5219.125743
2020,35271.20213,57302.21399,8972.396894,7850.441418,2129.153918,5099.005663
2020.083333,35315.70557,57313.20693,8775.711038,7723.39267,2029.943033,5002.075934
2020.166667,35368.11549,57329.06393,8590.337457,7601.025515,1938.536726,4912.589313
2020.25,35428.38784,57346.1228,8413.556233,7482.719357,1853.997959,4829.582578
2020.333333,35496.43138,57362.70973,8243.739192,7368.102155,1775.699646,4752.174431
2020.416667,35571.99756,57378.13255,8079.958196,7256.915132,1703.174745,4679.496665
2020.5,35654.91019,57392.32205,7921.680744,7148.938838,1636.035603,4610.675582
2020.583333,35745.07488,57405.41667,7768.632328,7043.967194,1573.933418,4544.841707
2020.666667,35842.35321,57417.79394,7620.66193,6941.776819,1516.550211,4481.142458
2020.75,35946.72942,57429.91322,7477.688533,6842.132532,1463.583208,4418.759034
2020.833333,36058.1532,57442.36601,7339.645281,6744.784207,1414.759194,4356.913594
2020.916667,36176.61824,57455.80041,7206.4779,6649.46992,1369.820579,4294.888686
2021,36300.67414,57472.33071,7074.322033,6559.724069,1327.302473,4233.267477
